client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
0,8132,5600,1.45,688,290,3326,5541
1,25329,7303,3.45,289,49,1941,4615
2,16038,6110,2.62,381,163,1718,4555
3,10224,5696,1.79,557,248,2949,4914
4,13082,5713,2.29,327,154,2569,4573
5,5253,3614,1.45,688,282,3380,5868
6,13121,5712,2.29,435,237,1721,4111
7,11070,4659,2.38,420,168,2328,5184
8,6605,4954,1.33,749,295,3649,5707
9,10862,5812,1.86,535,253,2704,4751
10,42208,8740,4.82,207,44,716,3893
11,46437,8820,5.26,189,43,543,3696
12,8762,5551,1.57,633,254,3344,5536
13,14307,5538,2.58,387,197,1777,4298
14,7085,5309,1.33,749,296,3606,5758
15,11643,5830,1.99,500,249,2323,4749
16,70682,10354,6.82,146,37,394,3169
17,67372,9919,6.79,137,35,307,3191
18,11034,6007,1.83,544,255,2921,4977
19,33805,8116,4.16,240,47,1258,4180
